id,inDegree,keywords
http://jsjkgvagvb6v52h57e73bv5k5lxiim5gqrrw6qz24rqx7cfksjrzxkyd.onion,22,bitcoin|encrypt|vulner|breach
https://blackhost7pws76u6vohksdahnm6adf7riukgcmahrwt43wv2drvyxid.onion,19,encrypt|script|xss|vulner
http://torbuyxpe6auueywlctu4wz6ur3o5n2meybt6tyi4rmeudtjsysayqyd.onion/?utm_source=bestdeep,47,hack|encrypt|bitcoin
http://underdiriled6lvdfgiw4e5urfofuslnz7ewictzf76h4qb73fxbsxad.onion/category/BUSINESS/pg/511,13,hack|phish|bitcoin
http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/donate,50,bitcoin
http://underdiriled6lvdfgiw4e5urfofuslnz7ewictzf76h4qb73fxbsxad.onion/category/BUSINESS,18,hack|phish|bitcoin|script
http://kw4zlnfhxje7top26u57iosg55i7dzuljjcyswo2clgc3mdliviswwyd.onion,28,botnet|ransomwar|script
http://kw4zlnfhxje7top26u57iosg55i7dzuljjcyswo2clgc3mdliviswwyd.onion/best-selling/,22,botnet|ransomwar|script
http://kw4zlnfhxje7top26u57iosg55i7dzuljjcyswo2clgc3mdliviswwyd.onion/product-category/apps/,21,keylogg|hack|botnet|ransomwar|script
http://blackhost7pws76u6vohksdahnm6adf7riukgcmahrwt43wv2drvyxid.onion,22,encrypt|script|xss|vulner
