id,inDegree,keywords
http://wzn5kaqb6kwhttj2gpjp2wlcy4mlydnwmiibw3ogeqdyqacaxgxyjrid.onion,9,hack|bitcoin|botnet|encrypt|btc
http://xcogw2jtdkppa545u53rqq3l5l3j6zd733xxpwnrnpumcpvmcm4eazad.onion,9,hack|bitcoin|botnet|encrypt|btc
http://u3qwdut6yva3iyewthpkmzyfgmt5f7xzoohktgyrafugxzar7dkcq3yd.onion,11,bitcoin|btc
http://u3qwdut6yva3iyewthpkmzyfgmt5f7xzoohktgyrafugxzar7dkcq3yd.onion/en/news.html,10,bitcoin|btc|breach|threat
http://yfj2bdnxpt2l263qx5w2jq4s7raqy6t4x2zypfspdtbrk7kvlrulh5id.onion,9,hack|bitcoin|botnet|encrypt|btc
http://ylntq24jsk7o4kfqxopcvk3gsv7butjj2fbtssgozkqg5ylsisz44uqd.onion,9,hack|bitcoin|botnet|encrypt|btc
http://222666anw5dmepdkh2fxh2ug5ewb2yapbxytaes2hzploqxg5qcgfdyd.onion/?cat=18&pg=0&lang=c6e22207461726765743d225f73656c66223ee585a8e983a83c2f613e3c2f6c693e203c6c6920636c6173733d2261637469ve,107,bitcoin|btc|exploit|hack|backdoor|ddos|xss|encrypt
http://sfprivg7qec6tdle7u6hdepzjibin6fn3ivm6qlwytr235rh5vc6bfqd.onion,29,threat|bitcoin
http://sfprivg7qec6tdle7u6hdepzjibin6fn3ivm6qlwytr235rh5vc6bfqd.onion/guides,12,bitcoin|script
http://222666anw5dmepdkh2fxh2ug5ewb2yapbxytaes2hzploqxg5qcgfdyd.onion/?cat=18&pg=1&lang=cn,51,btc|bitcoin
