id,inDegree,keywords
http://hacktowns3sba2xavxecm23aoocvzciaxirh3vekg2ovzdjgjxedfvqd.onion/home.php,35,hack|mitm|phish|malwar|ransomwar
http://ninechnjd5aaxfbcsszlbr4inp7qjsficep4hiffh4jbzovpt2ok3cad.onion,90,script
http://4dtwo7g4yjqtiu7sta7icchm3f2aomvfv62xrgn6jc42lm43ut4aydqd.onion/scam-check/,23,btc|script|phish|bitcoin|exploit|hack
http://appworld55fqxlhcb5vpdzdaf5yrqb2bu2xtocxh2hiznwosul2gbxqd.onion,59,bitcoin
http://dh7fozu2b52tawvhtxxqlqthxcofrenorz2mw4h6uku324xtbeiyn4yd.onion,15,btc|bitcoin|script
http://zsyvom262oiaoc6es7bgg66xieyil6nqkh7jn5ntraghpqgudbcl3vad.onion,14,hack|bitcoin
http://ninechnjd5aaxfbcsszlbr4inp7qjsficep4hiffh4jbzovpt2ok3cad.onion/libertarian/catalog,65,script|threat|trojan|dos|hack|encrypt|bitcoin|ddos|vulner
http://ninechnjd5aaxfbcsszlbr4inp7qjsficep4hiffh4jbzovpt2ok3cad.onion/libertarian/thread/618,21,script|hack|encrypt|bitcoin|ddos|vulner
http://ninechnjd5aaxfbcsszlbr4inp7qjsficep4hiffh4jbzovpt2ok3cad.onion/tech/thread/4459,17,script|bitcoin|hack
"http://appworld55fqxlhcb5vpdzdaf5yrqb2bu2xtocxh2hiznwosul2gbxqd.onion/?imacs,19",16,bitcoin
