id,inDegree,keywords
http://torlinkv7cft5zhegrokjrxj2st4hcimgidaxdmcmdpcrnwfxrr2zxqd.onion,301,bitcoin|hack|btc|script|exploit|ransomwar|encrypt|phish|crack|xss
http://bxp6oh6lpmj3dzxwr5wjeezr5xlsm4cum5mbuzv3diw2ykpzqutmlcad.onion,89,hack|crack|exploit|btc
http://marsco2ppgcux2go2iywtk6u6vd4pbqnwa4zk6ocedo55kdskujd2sid.onion,106,hack|ddos
http://sr4rya7za4kvocstuc7s2ed3f6tlsqbx4o5afdtqyjl4b3uzb5o23xad.onion,116,hack|btc|bitcoin|ddos|ransomwar|crack
http://qnhrvgjsdvhoznzy4modvlapayvb4dj4lb2eoj3momsgkh4oix4g5qad.onion/cart,120,malwar|bootkit|hack|backdoor|keylogg|worm|virus|trojan|botnet|exploit|encrypt|ransomwar|btc
http://y3uqa5umvziqedr6ox3io7qx4o5kf635s5qnhdbmzi2ws3s5eaitwvid.onion/?page_id=6,78,encrypt|bitcoin
http://blackxmwreorhhxj2hi5pw4groa2wjv332hfccbpvwuqolzxlfby35id.onion,160,btc|hack|ransomwar|bitcoin|ddos|crack
http://agoravpyc3j6xq2awqxbngldhjyfrtts63n2kdgarp5ynldcj3dbrsqd.onion,158,btc|hack|ransomwar|bitcoin|ddos|crack
http://6o7yjljdqx3ag5br7kcq64a5hipzid3lrp5ucjrxkkaj3lqjnfinmuqd.onion/gotoad.php?href=http://puyr3jb76flvqemhkllg5bttt2dmiaexs3ggmfpyewc44vt5265uuaad.onion/&ad_id=N2VJTktnMkF4WUtlYVlIUHJqZ2gvQT09Ojpg9HVPYoBYco%2FcvKvgKnYK,89,hack|encrypt|bitcoin|btc|crack|ddos|phish|breach
http://afny64ttn5frzxehshl4eqfyok2uyqj4qqmkghfqfkjyin2ikp6dhjyd.onion/cart,123,malwar|bootkit|hack|backdoor|keylogg|worm|virus|trojan|botnet|exploit|encrypt|ransomwar
